SID	date	startTime	endTime	plateNo	DID
7	2019-01-03	16:56:00	17:46:00	SKD1243J	58027
7	2019-01-18	18:00:00	18:56:00	SKY9837F	33112
7	2019-03-01	16:45:00	17:45:00	SHA8254Z	80822
7	2019-04-10	12:31:00	13:20:00	SKY9837F	33112
7	2019-07-11	21:54:00	22:48:00	SKD1243J	58027
7	2019-08-05	20:40:00	21:40:00	SKD1243J	58027
7	2019-09-24	18:40:00	20:28:00	SHZ7036F	29984
7	2019-11-07	16:17:00	17:57:00	SHR5465B	55727
7	2019-12-10	12:18:00	13:31:00	SKD1243J	58027
7	2020-02-11	22:32:00	23:19:00	SLE3754H	84466
7	2020-09-26	13:23:00	14:13:00	SKD1243J	58027
7	2021-01-31	21:16:00	23:04:00	SHZ7036F	36948
7	2021-03-05	11:12:00	12:01:00	SKY9837F	33112
7	2021-04-06	5:30:00	6:20:00	SHD5760D	84466
7	2021-05-02	15:44:00	16:33:00	SLR3457K	84466
7	2021-05-27	20:16:00	21:56:00	SHZ7036F	29984
7	2021-06-04	5:05:00	6:25:00	SHQ8495N	17877
7	2021-06-04	5:20:00	6:45:00	SHQ5298C	16526
7	2021-06-19	7:31:00	8:59:00	SZY1607S	73185
7	2021-06-19	12:01:00	13:51:00	SZY1607S	73185
7	2021-06-19	22:28:00	23:51:00	SZY1607S	73185
7	2021-08-09	13:15:00	14:05:00	SHR3574L	84466
7	2021-10-26	5:30:00	7:10:00	SHZ7036F	93165
7	2021-12-21	15:41:00	16:30:00	SKY9837F	33112
14	2019-03-15	19:29:00	20:59:00	SNR2293G	45300
14	2019-04-07	14:55:00	16:08:00	SHU4886Y	23181
14	2019-04-25	21:40:00	22:46:00	SME8954J	66130
14	2019-05-13	7:40:00	9:21:00	SMD4895R	36662
14	2019-06-19	6:00:00	7:00:00	SME8954J	32143
14	2019-06-28	20:55:00	22:05:00	SHU4886Y	53198
14	2019-07-04	13:25:00	16:10:00	SHE1541L	5653
14	2019-09-30	5:30:00	6:45:00	SHU4886Y	72046
14	2019-10-11	16:43:00	18:18:00	SHG3947F	72046
14	2019-11-01	10:26:00	11:30:00	SMR3844T	23181
14	2020-04-03	16:33:00	17:37:00	SMD4895R	53198
14	2020-04-18	11:16:00	12:21:00	SME8954J	32143
14	2020-04-27	12:26:00	13:38:00	SZK4221V	50013
14	2020-05-10	22:45:00	23:48:00	SHY1240J	93165
14	2020-05-27	13:16:00	14:29:00	SHY1240J	36662
14	2020-07-08	11:46:00	13:24:00	SNR2293G	53198
14	2020-07-12	16:16:00	17:31:00	SHZ7036F	50026
14	2020-08-29	18:19:00	19:23:00	SME8954J	66130
14	2021-01-09	16:35:00	17:48:00	SHY1240J	36662
14	2021-04-10	16:55:00	17:55:00	SHL8516O	21233
14	2021-04-10	17:02:00	18:05:00	SHM4949R	22916
14	2021-05-03	20:59:00	21:58:00	SME8954J	45300
14	2021-10-04	17:12:00	18:12:00	SMR3844T	72046
14	2021-11-26	22:28:00	23:51:00	SHG3947F	23181
16	2019-02-21	15:43:00	16:40:00	SZI3294H	50026
16	2019-03-04	5:30:00	6:22:00	SHM5991A	83733
16	2019-05-26	15:49:00	16:46:00	SHT4759G	85468
16	2019-06-08	12:28:00	13:20:00	SLF3924U	52283
16	2019-06-24	11:44:00	12:34:00	SLF3924U	52283
16	2019-10-22	13:55:00	14:45:00	SHL8516O	69755
16	2019-10-25	15:11:00	16:05:00	SHT4759G	44664
16	2020-03-03	10:34:00	11:29:00	SHS5259Y	5653
16	2020-03-27	22:40:00	23:30:00	SHZ1940F	90754
16	2020-04-09	13:46:00	14:40:45	SHZ1940F	44241
16	2020-06-15	19:40:00	20:33:00	SKH2983F	48430
16	2020-07-06	13:54:00	14:50:00	SHA3928G	44664
16	2020-09-04	12:20:00	15:00:00	SHJ3284C	16526
16	2020-09-28	17:56:00	18:46:00	SLF3924U	48430
16	2020-11-28	14:24:00	15:18:00	SHG3849R	44664
16	2020-12-19	8:24:00	9:18:00	SLF3924U	13274
16	2020-12-19	12:18:00	13:06:00	SLF3924U	13274
16	2020-12-19	18:00:00	18:56:00	SLF3924U	13274
16	2020-12-21	14:34:00	15:29:00	SZI3294H	50026
16	2021-02-05	11:24:00	12:19:00	SHM5991A	97183
16	2021-03-26	19:39:00	20:32:00	SHM5991A	36662
