CardID	balance	expirydate	type	oldCardID
1	1.24	2020-05-07	Adult	NULL
2	0	2022-06-20	Adult	NULL
3	0	2019-10-01	Senior	NULL
4	0	2021-06-17	Adult	NULL
5	0.23	2019-04-17	Student	NULL
6	0	2021-11-13	Adult	NULL
7	163.43	2021-05-23	Adult	NULL
8	0	2022-09-30	Adult	NULL
9	123.2	2022-08-29	Adult	NULL
10	38.4	2022-11-24	Student	NULL
11	0	2021-12-23	Student	NULL
12	0	2020-07-03	Adult	1
13	122.76	2021-09-26	Adult	NULL
14	4.63	2022-12-02	Senior	NULL
15	0	2021-12-12	Adult	NULL
16	33.69	2022-11-22	Senior	NULL
17	47.57	2022-12-23	Student	NULL
18	135.68	2022-07-08	Adult	NULL
19	12	2022-10-03	Adult	NULL
20	33.6	2022-11-28	Senior	NULL
21	0	2022-10-30	Student	NULL
22	43.57	2021-12-29	Adult	NULL
23	0	2022-06-23	Senior	NULL
24	8.12	2022-04-04	Adult	NULL
25	0	2022-01-10	Student	NULL
26	13.41	2022-05-10	Adult	NULL
27	0	2021-11-05	Adult	NULL
28	8.01	2022-06-14	Adult	NULL
29	0	2022-01-07	Student	NULL
30	83.62	2022-07-31	Senior	NULL
31	0	2022-09-19	Adult	NULL
32	0.12	2022-10-03	Adult	NULL
33	26.11	2022-11-24	Adult	NULL
34	0	2022-11-27	Student	NULL
35	5.49	2022-12-10	Adult	NULL
36	0	2021-09-17	Senior	NULL
37	167.96	2022-12-22	Adult	NULL
38	67.98	2022-12-25	Adult	NULL
39	102.04	2022-12-25	Adult	NULL
40	15.8	2022-12-25	Adult	NULL
41	27.33	2022-12-25	Student	NULL
42	157.44	2022-01-01	Student	NULL
43	0	2022-01-10	Adult	NULL
44	8.74	2022-01-15	Adult	NULL
45	94.22	2022-03-03	Student	NULL
46	0.83	2022-03-21	Adult	NULL
47	0	2022-03-23	Student	NULL
48	29.06	2022-05-12	Adult	NULL
49	0.51	2020-06-25	Senior	3
50	0	2021-12-08	Adult	NULL
51	56.18	2022-08-29	Student	NULL
52	43.38	2022-09-19	Adult	NULL
53	123.4	2022-09-22	Adult	NULL
54	115.66	2022-09-28	Senior	NULL
55	26.27	2022-10-23	Adult	NULL
56	0	2023-07-12	Adult	6
57	72.69	2022-11-05	Adult	NULL
58	26.78	2022-11-11	Adult	NULL
59	24.94	2022-12-22	Student	11
60	99.53	2021-08-07	Adult	12
61	60.71	2021-01-11	Adult	NULL
62	42.56	2021-04-07	Adult	NULL
63	0	2022-04-24	Student	NULL
64	180.27	2021-05-09	Senior	NULL
65	0	2023-05-15	Student	NULL
66	168.47	2020-05-17	Senior	NULL
67	0	2024-05-29	Adult	27
68	5.22	2019-05-31	Adult	NULL
69	61.18	2023-06-16	Student	NULL
70	3.91	2024-06-16	Student	29
71	139.75	2023-06-22	Adult	NULL
72	30.51	2023-07-30	Adult	NULL
73	9.54	2023-08-21	Adult	NULL
74	19	2023-09-19	Senior	NULL
75	0	2023-10-08	Student	NULL
76	44.77	2023-10-19	Student	NULL
77	11.59	2024-11-15	Adult	50
78	0	2023-11-26	Student	NULL
79	48.13	2023-02-11	Senior	NULL
80	73.05	2023-02-15	Adult	NULL
81	11.62	2023-02-16	Adult	NULL
82	106.97	2023-02-26	Senior	NULL
83	0	2023-03-28	Student	NULL
84	85.18	2024-04-28	Adult	43
85	62.78	2023-05-09	Adult	NULL
86	194.28	2023-05-09	Adult	NULL
87	0	2023-06-05	Student	NULL
88	5.33	2023-06-20	Senior	NULL
89	0	2024-07-09	Senior	36
90	183.3	2024-07-18	Student	25
91	22.21	2023-07-25	Adult	NULL
92	0	2023-09-04	Adult	NULL
93	0.53	2023-09-14	Adult	NULL
94	58.13	2023-12-03	Adult	NULL
95	0	2023-12-04	Student	NULL
96	32.73	2023-12-06	Adult	15
97	0	2023-12-09	Student	NULL
98	141.14	2022-06-16	Adult	4
99	78.81	2023-01-07	Adult	NULL
100	0	2023-01-12	Student	NULL
101	101.83	2023-01-29	Student	NULL
102	38.88	2023-02-07	Adult	NULL
103	107.37	2024-03-10	Student	34
104	0	2023-03-19	Adult	NULL
105	70.5	2023-04-17	Student	NULL
106	0.04	2025-07-02	Student	78
107	15.28	2023-07-03	Student	NULL
108	8.94	2023-07-17	Student	NULL
109	163.24	2023-08-05	Senior	NULL
110	23.97	2023-08-21	Adult	NULL
111	0.27	2025-09-03	Student	75
112	6.11	2023-09-24	Adult	NULL
113	78.28	2023-10-06	Senior	NULL
114	38.44	2023-10-12	Student	63
115	198.12	2023-11-24	Student	NULL
116	74.88	2023-11-24	Senior	NULL
117	0	2023-12-01	Adult	NULL
118	116.37	2023-12-07	Senior	NULL
119	0	2023-01-13	Adult	NULL
120	119.37	2023-01-21	Adult	NULL
121	28.49	2023-01-22	Senior	NULL
122	172.09	2023-04-21	Adult	NULL
123	123.32	2022-10-03	Senior	49
124	36.17	2023-05-25	Senior	NULL
125	0.12	2023-05-29	Student	NULL
126	62.72	2023-06-09	Student	NULL
127	198.62	2023-06-17	Adult	NULL
128	23.82	2023-06-18	Senior	NULL
129	0.16	2024-07-10	Adult	92
130	73.41	2023-06-19	Adult	2
131	0	2023-08-26	Adult	NULL
132	0	2023-08-29	Student	NULL
133	6.43	2023-08-31	Student	NULL
134	14.46	2023-09-18	Adult	NULL
135	16.1	2023-09-29	Student	NULL
136	179.97	2023-09-29	Adult	8
137	13.35	2024-10-15	Adult	31
138	180.12	2023-11-13	Adult	NULL
139	130.09	2023-12-29	Adult	NULL
140	0	2023-12-30	Senior	NULL
141	19.64	2023-12-30	Student	NULL
142	162.04	2023-12-30	Student	NULL
143	74.63	2023-12-30	Student	NULL
144	9.97	2025-01-15	Student	95
145	13.62	2024-01-23	Student	47
146	108.03	2024-02-03	Adult	NULL
147	10.46	2024-02-09	Senior	NULL
148	88.54	2025-02-14	Student	65
149	130.19	2025-03-13	Student	97
150	34.5	2024-04-19	Adult	NULL
151	0	2024-04-27	Senior	NULL
152	107.44	2024-04-30	Student	NULL
153	143.04	2025-06-02	Adult	104
154	13.12	2024-06-09	Adult	NULL
155	17.2	2024-06-11	Senior	NULL
156	25.08	2024-06-14	Student	NULL
157	23.32	2024-06-20	Adult	NULL
158	6.93	2024-06-27	Adult	NULL
159	44.1	2024-06-30	Adult	NULL
160	50.26	2024-07-20	Student	NULL
161	125.56	2024-09-06	Adult	NULL
162	75.39	2023-06-22	Senior	23
163	27.35	2024-11-01	Senior	NULL
164	80.61	2024-01-28	Adult	NULL
165	105.63	2025-02-13	Student	87
166	71.45	2024-03-06	Adult	NULL
167	41.58	2025-05-07	Student	132
168	71.38	2024-06-09	Senior	NULL
169	51.39	2024-06-09	Student	NULL
170	0	2024-06-10	Adult	NULL
171	102.83	2024-06-12	Adult	NULL
172	18.42	2024-06-19	Adult	NULL
173	0.15	2024-07-03	Student	NULL
174	76.15	2024-07-12	Adult	NULL
175	24.42	2025-08-12	Adult	117
176	27.23	2024-09-02	Student	NULL
177	62.27	2024-09-19	Adult	NULL
178	98.53	2025-10-29	Student	100
179	28.1	2024-11-18	Adult	NULL
180	0	2024-11-20	Senior	NULL
181	47.64	2024-11-20	Adult	NULL
182	180.67	2024-11-20	Student	NULL
183	84.66	2024-11-20	Senior	NULL
184	0.73	2025-01-05	Student	83
185	123	2025-02-06	Adult	NULL
186	64.46	2025-03-10	Student	NULL
187	0	2025-05-08	Senior	NULL
188	174.42	2025-05-23	Adult	NULL
189	26.76	2025-06-12	Senior	NULL
190	80.4	2025-06-27	Adult	NULL
191	0	2025-08-04	Adult	119
192	9.26	2025-08-15	Adult	NULL
193	18.79	2025-08-29	Adult	NULL
194	0.03	2026-09-02	Adult	170
195	32.58	2020-09-11	Adult	NULL
196	191.69	2026-10-16	Senior	151
197	171.42	2026-11-12	Senior	180
198	148.88	2025-12-13	Senior	140
199	17.94	2022-08-17	Student	NULL
200	163.82	2022-09-18	Senior	NULL
201	135.47	2022-07-12	Senior	NULL
202	146.36	2025-09-01	Adult	NULL
203	0	2023-04-17	Student	NULL
204	62.49	2024-07-05	Senior	NULL
205	43.6	2024-11-29	Adult	NULL
206	9.28	2024-02-08	Student	NULL
207	24.51	2022-10-12	Student	NULL
208	120.45	2023-06-14	Adult	NULL
209	111.6	2024-02-16	Senior	NULL
210	67.13	2025-09-07	Adult	NULL
211	104	2024-05-27	Senior	NULL
212	36.93	2025-05-05	Adult	NULL
213	79.28	2024-05-15	Senior	NULL
214	6.1	2023-05-04	Student	NULL
215	34.01	2024-09-18	Senior	NULL
216	187.31	2025-04-02	Adult	NULL
217	161.02	2024-10-26	Adult	NULL
218	155.14	2024-02-08	Senior	NULL
219	10.56	2025-11-06	Adult	NULL
220	51.57	2023-08-04	Adult	NULL
221	153.12	2024-02-21	Adult	NULL
222	20.29	2024-06-21	Student	203
223	0	2022-08-31	Student	NULL
224	0	2023-02-26	Adult	NULL
225	81.92	2023-07-04	Adult	NULL
226	85.23	2024-10-27	Adult	NULL
227	33.86	2023-11-05	Adult	NULL
228	51.89	2024-05-24	Senior	NULL
229	170.28	2023-09-21	Adult	NULL
230	82.77	2022-10-14	Student	223
231	21.75	2023-01-06	Adult	NULL
232	154.26	2025-01-14	Senior	NULL
233	191.3	2025-12-04	Adult	NULL
234	76.55	2022-08-11	Adult	NULL
235	27.41	2024-01-06	Senior	NULL
236	155.48	2024-06-10	Adult	NULL
