CardID	date	usePhone	boardstop	SID	alightstop	boardTime	alightTime
1	2019-04-06	0	40121	106	4223	7:58:00	8:05:00
1	2020-04-07	0	77019	175	10101	12:33:00	12:36:00
2	2019-01-06	1	19091	590	10091	13:38:00	13:56:00
2	2019-06-09	1	9059	124	13021	19:16:00	19:28:00
2	2019-09-30	1	40129	14	12031	5:36:00	6:18:00
2	2021-06-19	0	40129	7	92141	0:40:00	1:01:00
3	2019-09-01	1	9131	128	52441	12:40:00	12:49:00
4	2020-05-01	1	40121	106	4223	6:16:00	6:38:00
4	2020-07-25	1	9141	111	94059	6:32:00	6:44:00
6	2021-07-19	1	50211	190	50991	21:35:00	21:56:00
7	2020-03-03	1	40129	16	13011	11:13:00	11:29:00
7	2021-01-09	1	40129	175	3223	16:17:00	16:25:00
8	2019-07-17	1	50211	190	50991	14:24:00	14:42:00
8	2021-01-09	1	50991	14	12031	17:05:00	17:23:00
8	2021-03-26	0	91099	16	4121	20:03:00	20:05:00
8	2021-05-27	1	1039	7	40129	20:34:00	21:37:00
8	2021-06-06	0	13211	598	5012	12:08:00	12:20:00
9	2020-09-17	0	3221	598	13211	14:12:00	14:22:00
9	2021-08-27	0	17009	16	4121	11:42:00	11:57:00
10	2020-07-19	0	40269	805	65381	13:17:00	13:25:00
10	2021-05-06	1	10018	106	82061	23:17:00	23:49:00
10	2021-10-15	1	21661	171	54371	11:36:00	11:56:00
11	2020-05-01	1	4223	106	52451	6:38:00	6:49:00
11	2020-11-02	0	40011	598	54371	8:05:00	8:25:00
12	2019-06-09	1	5022	124	13021	18:34:00	19:28:00
13	2019-05-12	1	9059	518	9141	21:15:00	21:23:00
13	2019-07-25	1	92159	77	21421	10:45:00	10:57:00
13	2020-03-31	1	51069	850	53219	7:42:00	7:45:00
13	2020-12-30	1	52171	77	10101	12:29:00	12:32:00
14	2020-12-26	0	92159	111	11201	6:12:00	6:40:00
14	2021-02-05	0	17009	16	1039	16:01:00	16:31:00
14	2021-09-30	1	5022	124	54181	11:29:00	11:36:00
14	2021-11-10	1	21179	502	81131	22:39:00	22:56:00
15	2019-11-06	0	92099	167	4222	14:05:00	14:16:00
15	2020-08-08	0	9141	111	11201	21:25:00	21:33:00
15	2020-11-16	1	8031	174	10018	14:43:00	16:00:00
15	2020-12-19	1	81131	77	50991	13:57:00	14:00:00
15	2021-06-29	1	21661	502	82109	22:24:00	22:30:00
15	2021-11-09	0	92141	124	21661	12:30:00	12:42:00
