stopID	locationDesc	address
1029	Cosmic Insurance Bldg	104 North Bridge Rd
1039	Nth Bridge Commercial Cplx	102 North Bridge Rd
1139	Parkview Sq	99 North Bridge Rd
3011	Fullerton Sq	77 Fullerton Rd
3071	Opp The Ogilvy Ctr	29 Robinson Rd
3221	Prudential Twr	34 Cecil St
3223	Itnl Plaza	1 Anson Rd
4111	Capitol Bldg	179 Stamford Rd
4121	SMU	80 Stamford Rd
4143	Stamford Ct	12 Hill St
4151	Cath of The Good Shepherd	Victoria St
4222	Clarke Quay Stn	31 Eu Tong Sen St
4223	Mica Bldg	23 Hill St
4249	Opp The Treasury	North Bridge Rd
5012	Pearl's Ctr	27 Eu Tong Sen St
5022	People's Pk Ctr	13 Eu Tong Sen St
5029	Boat Quay	South Bridge Rd
5059	Hong Lim Park	11 New Bridge Rd
5421	Aft Craig Rd	5 Craig Rd
7021	Selegie Ctr	Selegie Rd
8031	Dhoby Ghaut Stn	119 Penang Rd
8041	YMCA	116 Orchard Rd
8111	Winsland Hse	124 Penang Rd
8121	Somerset Stn	127 Somerset Rd
9022	Opp Orchard Stn	135 Orchard Boulevard
9059	Natl Youth Council	130 Grange Rd
9111	Opp Four Seasons Hotel	140 Orchard Boulevard
9131	Opp Trader's Hotel	149 Grange Rd
9141	British Council	152 Napier Rd
9219	Far East Plaza	75 Scotts Rd
10018	Bef Outram Rd	34 Eu Tong Sen St
10091	Bt Merah Town Ctr	244 Jln Bt Merah
10101	Spring S'pore Bldg	249 Jln Bt Merah
10291	Bef Dawson Rd	Alexandra Rd
10459	Blk 72	Redhill Rd
11201	Csc Dempsey Clubhse	164 Holland Rd
11221	Lien Twrs	172 Holland Rd
11261	Holland Village	185 Holland Rd
11289	Opp Tan Boon Chong Ave	Holland Rd
11519	Opp Queensway Shopping Ctr	261 Alexandra Rd
12031	Pandan Valley Condo	206 Ulu Pandan Rd
12071	Blk 116	5 Clementi Rd
12081	Maju Camp	6 Clementi Rd
12101	Ngee Ann Poly	2 Clementi Rd
12119	Police KINS Trg Camp	8 Ulu Pandan Rd
12169	Pandan Valley	1 Pandan Valley
12179	Montview	11 Mt Sinai Rise
12189	Bef Mt Sinai Dr	10 Mt Sinai Rise
13011	Opp S'pore Botanic Garden	155 Napier Rd
13021	Aft Min Of Foreign Affairs	151 Holland Rd
13059	Valley Pt Condo	59 River Valley Rd
13141	Aft Zion Full Gospel Ch	6 Hoot Kiam Rd
13211	Aft Unity St	23 Mohd Sultan Rd
14041	Blk 54	5 Henderson Rd
14049	Opp Blk 55	Henderson Rd
14051	Aft Telok Blangah Hts	6 Henderson Rd
14059	Bef Telok Blangah Hts	27 Henderson Rd
14491	Opp Telok Blangah Mkt/FC	Telok Blangah Dr
17009	Clementi Int	230 Clementi Ave 3
17171	Clementi Stn	331 Commonwealth Ave West
17229	Blk 335	224 Clementi Ave 5
