fromstop	tostop	basefeee
1039	3011	1.38
1039	9131	0.92
1039	13021	1.38
1039	40129	1.61
1039	92099	1.15
1039	92141	1.84
1139	4249	1.38
1139	81189	0.23
3011	8121	0.46
3011	21609	1.15
3011	82061	0.23
3071	4143	0.23
3071	13021	0.92
3221	1029	0.92
3221	5012	2.07
3221	5029	1.84
3221	5421	2.3
3221	12031	0.92
3221	13021	1.15
3221	13211	1.38
3221	52171	0.23
3221	54371	1.84
3221	83059	0.92
3221	84009	1.15
3223	5012	2.53
3223	5022	1.38
3223	5421	2.07
3223	10101	2.07
4111	5059	1.61
4121	13011	0.69
4121	40129	0.23
4143	8031	0.92
4143	9131	1.15
4143	13021	1.61
4143	40129	1.84
4143	50211	0.23
4143	92099	1.38
4143	92141	2.07
4151	5029	1.15
4151	5421	1.61
4222	5012	0.46
4222	5022	0.69
4222	5421	1.38
4223	3011	0.46
4223	5022	0.23
4223	52451	0.23
4249	17009	0.23
5012	5029	0.23
5012	13011	0.46
5022	4143	1.38
5022	8031	2.3
5022	9059	1.61
5022	13021	2.07
5022	21661	0.92
5022	54181	1.84
5022	92099	0.23
7021	10101	0.69
7021	21661	0.92
7021	50991	0.23
7021	80219	0.46
8031	3221	0.23
8031	8111	0.23
8031	9131	2.07
8031	10018	0.46
8031	12031	1.38
8031	13021	1.61
8031	14051	0.69
8031	17009	0.23
8031	40011	1.84
8031	52171	0.46
8031	52441	0.46
8031	80219	0.23
8041	13011	2.3
8041	13059	2.53
8111	12031	1.15
8111	13021	1.38
8111	40011	1.61
8111	40129	0.92
8111	81131	0.46
8111	85091	0.46
8121	3221	1.61
8121	9022	1.15
8121	11201	1.61
8121	50069	0.46
8121	50229	1.38
8121	81189	1.15
8121	93099	0.92
9022	11261	1.61
9022	13011	2.07
9022	83059	1.38
9059	4143	0.69
9059	8031	0.69
9059	9141	0.23
9059	11201	0.46
9059	13021	0.46
9059	50211	0.92
9059	54181	0.23
9111	11519	1.61
9111	13011	1.84
9131	11201	0.69
9131	19089	0.46
9131	52441	0.23
9141	4222	1.38
9141	11201	1.15
9141	11221	0.92
9141	11261	1.15
9141	50229	0.92
9141	93099	0.46
9141	94059	0.23
9219	11519	1.15
10018	1029	0.69
10018	3011	0.69
10018	13211	1.15
10018	40011	0.46
10018	50069	1.38
10018	54371	1.61
10018	82061	0.92
10018	84009	0.92
10091	17229	0.23
10101	3223	0.23
10101	8031	0.69
