stopid	sid	rankorder
1029	598	7
1039	7	3
1039	16	16
1039	106	3
1139	36	7
3011	7	1
3011	106	9
3011	111	1
3071	124	6
3071	167	4
3221	14	5
3221	36	11
3221	598	3
3221	602	1
3223	77	4
3223	175	5
3223	602	2
4111	602	3
4121	14	1
4121	16	12
4143	7	2
4143	124	7
4143	518	6
4151	602	4
4151	732	1
4222	111	11
4222	167	3
4222	602	5
4223	106	7
4223	190	7
4249	36	13
4249	602	6
5012	77	15
5012	598	12
5012	602	7
5022	124	1
5022	190	8
5022	590	4
5022	602	8
5029	16	8
5029	598	13
5029	602	9
5059	602	10
5421	602	11
7021	587	3
8031	14	3
8031	36	10
8031	124	11
8031	162	1
8031	174	6
8041	610	1
8111	14	4
8111	77	14
8111	502	8
8121	36	4
8121	111	3
9022	36	9
9022	610	2
9059	124	8
9059	518	3
9111	610	3
9131	7	7
9131	14	12
9131	128	2
9131	162	5
9141	111	5
9141	518	4
9141	610	4
9219	610	5
10018	77	7
10018	106	6
10018	174	8
10018	598	4
10091	590	6
10101	77	13
10101	174	3
10101	175	4
10101	587	6
10291	610	6
10459	732	2
11201	111	10
11201	128	5
11201	518	5
11201	610	7
11221	610	8
11261	124	4
11261	190	5
11261	610	9
11289	732	3
11289	805	6
11519	610	10
12031	14	9
12031	190	2
12031	587	1
12071	600	8
12081	600	7
12101	600	6
12119	600	9
12169	600	10
12179	600	12
12189	600	11
13011	16	15
13011	77	17
13011	610	11
13021	7	9
13021	14	10
13021	111	2
13021	124	10
13021	502	1
13059	610	12
13141	167	1
13141	171	4
13141	518	1
13211	598	9
14041	16	5
14049	732	4
14049	805	7
14051	162	4
14059	502	2
14491	740	6
17009	16	7
17009	36	14
17009	77	1
17009	162	2
17171	610	13
17229	590	7
17229	610	14
19031	14	7
19031	171	1
19089	7	4
19089	16	6
19089	128	4
19089	174	4
19091	36	1
19091	590	3
21179	16	3
21179	128	1
21179	174	5
21179	502	9
21421	77	10
21609	7	6
21609	106	1
21609	502	3
21609	590	2
21661	14	8
21661	77	12
21661	124	5
21661	171	3
21661	502	5
21661	587	7
28041	701	3
40011	14	11
40011	598	6
40121	16	2
40121	77	11
40121	106	5
40129	7	10
40129	14	2
40129	16	13
40129	77	18
40129	175	3
40269	732	5
40269	805	5
40269	960	1
41051	600	1
41051	960	2
41069	600	2
41069	960	3
41081	600	3
41081	960	4
42021	600	4
42021	960	5
42061	600	5
42061	960	6
44229	740	5
50061	124	2
50069	36	6
50069	598	10
50211	7	5
50211	190	1
50211	518	7
50221	701	1
50229	111	9
50229	171	6
50991	14	6
50991	16	11
50991	77	3
50991	171	2
50991	190	4
50991	587	4
51069	850	1
51071	805	8
51071	850	2
52051	701	2
52171	36	12
52171	77	5
52441	128	3
52441	162	3
52451	106	8
53009	850	3
53011	850	4
53011	960	7
53209	850	5
53219	805	4
53219	850	6
53231	850	7
53329	850	8
53329	960	8
54081	850	9
54081	960	9
54181	106	2
54181	124	9
54319	850	10
54371	171	5
54371	598	11
54381	16	1
64259	740	2
64259	960	10
65139	650	1
65199	650	2
65199	960	11
65381	805	9
65431	650	3
65431	960	12
65439	650	4
65439	960	13
65481	650	5
65481	960	14
67269	740	1
67269	960	15
67369	732	6
67369	960	16
68161	732	7
70019	587	2
70151	77	9
70151	590	1
70151	598	5
70211	701	4
72159	732	8
72159	740	3
75059	650	6
75059	805	3
77019	106	4
77019	175	1
77029	190	3
77029	805	10
77061	701	5
77061	805	2
77171	701	6
77171	960	17
80049	77	8
80049	598	1
80159	701	7
80219	174	7
80219	587	5
81131	77	2
81131	175	2
81131	502	10
81131	598	2
81141	701	8
81189	36	8
81189	111	8
81189	171	7
82049	502	4
82061	106	10
82061	190	6
82109	167	5
82109	502	6
83059	16	14
83059	36	15
83151	16	9
84009	36	5
84009	598	8
85019	518	2
85091	77	16
91099	16	4
92049	805	1
92099	7	8
92099	167	2
92099	502	7
92099	590	5
92141	7	11
92141	124	3
92159	16	10
92159	36	3
92159	77	6
92159	111	4
92241	174	2
93099	36	2
93099	111	7
94059	111	6
94059	174	1
95011	650	7
95019	650	8
95151	650	9
95209	650	10
99071	732	10
99161	805	11
99189	732	9
99189	740	4
